# Track list
# Format: time,title,artist,remixer

,Allegory + Metaphor (Remix),Sean Deason,Anton Miller
,Odu Jazz (Unreleased Mix),USG,
,The Answer (Extended Mix),"World, Sky & Universes",
,Life 4 Living (Vocal Life Mix),USG feat. Monica Elam,
,Ebony Angel (Angel Vox),USG feat. Monica Elam,
,Feel The Rhythm,Ron Trent,
,Future Love,Presence,
,Do Me Right (Do me Beats Mix),Inner City,USG
,Sunshine (Vocal Mix),Roland Clark,Ron Trent
,Morning Factory (Original Mix),Ron Trent,
,Be My (27th And 10th Ave Mix),Noni (Ron Trent/Chez Damier),
,Now Is The Time (Club Mix),Kreem (feat. Jennifer Kendall),Chez Damier & Ron Trent
,The Choice (Witch Doctor Mix),Chez N Trent,
,Escape That (Remix),4hero,Ron Trent
,Introduce My Love (Dub),USG,Lucien
,Can't Be Without,Carlton,Chez Damier & Ron Trent
,Can't Change Me (House Remix),N`Dambi,Ron Trent
,Warriors Dance (Remix),Simoncino,Ron Trent
,Teach / Keep Me (Satisfied),Noni (The Gift),
,Ncameu (Cocoinstra),USG,
,Do You Want Me (Dubstrumental Mix),Blak Beat Niks,USG
