# Track list
# Format: time,title,artist

,Words of Wisdom,Cedric Im Brooks
,Inforce'Ah,Roots Radics
,Leggo Beast Dub,The Congos
,Weep And Wail,Roots Radics
,Neckodeemus,The Congos
,A Fat Dub,The Congos
,Abendigo (extended mix),The Abyssinians
,Gunman,Roots Radics
,Peculiar Number,The Abyssinians
,Declaration of Rights,The Abyssinians
,Dinninit,De La Soul
,Stakes Is High,De La Soul
,Starz (Instrumental),Jaylib
,Time- The Donut of the Heart,J Dilla
,Workinonit,J Dilla
,Gobstopper,J Dilla
,Award Tour,A Tribe Called Quest
,I See Colours,Edan
,The Science Of The Two Featuring Insight,Edan
,Making Planets (featuring Mr. Lif),Edan
,San Francisco Knights,People Under The Stairs
,Los Angeles Daze,People Under The Stairs
,Nuyorican Soul Intro,Nuyorican Soul
,I Am the Black Gold of the Sun,Nuyorican Soul
,"It's Alright, I Feel It!",Nuyorican Soul
,I Can See the Future (Ski's main mix),Incognito
,Sabasi,Cedric Im Brooks
,Who No Know Go Know,Fela Kuti
,Heart Is A Melody Of Time (Hiroko's Song),Pharoah Saunders
,Playboy Cha Cha,Mulatu Astatke
,Girl From Addis Ababa,Mulatu Astatke
,Oye Como Va,Tito Puente
,Roforofo Fight,Havana Cultura
,Coro miyare,Fania All-Stars
,I Am the Black Gold of the Sun (4 Hero remix),Nuyorican Soul
,Flesh and Blood,D*Note
,"It's Alright, I Feel It (Roni Size remix)",Nuyorican Soul
,Symphonic Poem ''Watarase'' feat. Yuki Kaneko,Fumio Itabashi
,You Ain't Gonna Know Me 'Cos You Think You Know Me,Chris McGregor's Brotherhood of Breath
